"Nom","Mentions","1/2j abs","Rang","Moyenne Générale","MATHEMATIQUES","PHYSIQUE-CHIMIE","NSI"
"OBUQW","Félicitations",3,1,"17.4",18,"18.5","17.7"
"XYYVQ","Félicitations",5,1,"18.1","19.2",18,19
"SJOLY","Félicitations",,1,"18.2","19.2",17,"19.1"
"CAOZY","Félicitations",1,2,17,"18.5","17.5","17.9"
"NULRT","Félicitations",2,2,"17.6","17.8","18.5","17.5"
"SATNL","Félicitations",4,2,17,"17.5","17.5","18.6"
"BXARC","Félicitations",15,2,"18.1","19.4",19,"16.6"
"UFXVM","Félicitations",1,3,"17.6","18.6","17.5","16.5"
"ASLZS","Félicitations",6,3,"17.8","19.4",19,"17.8"
"PIGCD","Félicitations",9,3,"17.8","18.9",20,"17.6"
"NBQVQ","Félicitations",1,4,"16.5","17.6","16.5","17.2"
"IXHGB","Félicitations",4,"17.4","17.3",17,"17.9",16
"HKYCU","Félicitations",2,5,"16.4","18.1",17,"17.9"
"XRZOA","Félicitations",9,5,"16.6","18.3","17.5","14.7"
"SEXRW","Félicitations",16,5,"17.1","17.8",16,"18.8"
"FROXY","Félicitations",6,6,"16.3","19.3",17,15
"MPBWD","Félicitations",7,6,"16.5",17,17,"16.7"
"PAZCW","Félicitations",6,"16.4","13.3",17,"16.8","13.5"
"XOWON","Félicitations",3,7,"15.4","15.2",16,"16.4"
"XSXJX","Félicitations",8,7,"15.4","16.2","12.5","16.6"
"RRWVF","Félicitations",12,7,"15.5","14.4",15,"16.4"
"VFQIV","Félicitations",11,8,"14.5","14.4",13,"10.3"
"WGLOT","Compliments",8,14,12,16,"11.8","13.5"
"YPSAM","Félicitations",8,"14.6","13.3","14.5","14.5",19
"AYFHQ","Compliments",2,9,"13.9","13.5","13.5","14.2"
"QCTQB","Félicitations",6,9,"14.4","14.1",11,"11.1"
"MXVIJ","Compliments",8,9,"13.7",13,12,"11.2"
"UQAYM","Compliments",2,10,"13.9",14,11,"14.8"
"TFIAB","Félicitations",4,10,"13.6","14.2",13,"13.3"
"NHLZR","Compliments",14,10,"13.9","13.7","11.5","15.4"
"XPVXR","Compliments",10,"13.9",11,14,"14.2","19.5"
"OLQBO","Félicitations",14,11,"13.5","12.8",13,"11.2"
"CUTBU","Compliments",11,"13.6","12.3","11.5","13.6","14.5"
"SQVNH","Pas de mention",2,12,"13.8",15,16,"12.4"
"TVMRA","Pas de mention",65,12,"13.5",8,,18
"KTBYW","Compliments",12,"13.5","12.7","12.5","13.9",14
"VGANB","Compliments",2,13,"13.5","13.3","11.5","15.7"
"MXRPG","Pas de mention",7,13,"13.4","15.8",15,"11.1"
"CPIZF","Compliments",13,"13.4",15,"12.5","12.6","14.5"
"ZWSPZ","Compliments",3,14,"13.5","11.3",9,17
"UVLPZ","Compliments",,14,"12.9","12.4",8,"10.1"
"VZWHE","Compliments",14,"13.1","13.3",12,"12.6",20
"FVEWG","Compliments",1,15,13,"14.2","12.5","11.1"
"OYQHD","Compliments",4,15,"13.3","12.7","13.5",10
"HAUAK","Pas de mention",,15,"12.8",16,15,"7.1"
"LYHYD","Compliments",2,16,"13.2","13.3","11.5","13.1"
"QAKEG","Compliments",5,16,"12.9","11.1",11,"13.3"
"FFHOD","Mise en garde pour l'assiduité",25,16,"12.6","10.5",13,"13.9"
"KBYPL","Pas de mention",3,17,"12.8","12.9",14,"14.3"
"VBNMW","Compliments",4,17,13,"12.6",11,"13.7"
"BQDCH","Compliments",17,17,"12.6","10.7",8,"13.2"
"IPKWS","Compliments",17,18,"12.5","11.4",12,"10.5"
"PKXYT","Pas de mention",33,18,"12.6","7.7",12,"14.3"
"PCEPU","Pas de mention",46,18,"12.9","8.2",,"14.2"
"OFUTJ","Compliments",6,19,"12.6","10.8","10.5","12.5"
"MFPNQ","Encouragements",7,19,"12.6",12,"12.5","11.2"
"YLDOS","Encouragements",21,19,"12.2",14,14,"9.5"
"REAJE","Encouragements",4,20,"12.6","14.2","11.5","13.7"
"DRHQA","Encouragements",4,20,"12.5","10.6",10,"12.3"
"UOZMK","Encouragements",16,20,"12.1","12.4",9,11
"YEXND","Encouragements",3,21,"12.6","13.2","14.5",13
"XVEXG","Encouragements",6,21,"12.2","11.1",10,"14.4"
"IXVPT","Pas de mention",9,21,"11.6","13.1",8,10
"MNSTZ","Pas de mention",18,22,"11.8","12.8","10.5","12.8"
"MGZUB","Pas de mention",32,22,"11.3","12.2",10,11
"FIECN","Encouragements",5,23,"12.4","11.8","11.5","10.7"
"WQNGX","Pas de mention",9,23,"11.4","11.4",12,"9.6"
"RYILJ","Pas de mention",37,23,"11.3","16.9",10,"6.4"
"HIURK","Encouragements",2,24,"12.3","12.4","11.5",12
"MDTVZ","Encouragements",7,24,11,"10.8",11,"11.7"
"ORETO","Pas de mention",9,24,"11.3","9.2","9.5","12.6"
"BZQWB","Pas de mention",1,25,"10.7","9.5","11.5","13.1"
"WCSQK","Encouragements",2,25,"11.5",11,11,"12.9"
"JAHMU","Encouragements",6,25,"10.9","11.6",10,"8.8"
"OEVTI","Pas de mention",9,26,"11.2","13.8",12,"8.9"
"LZGJO","Encouragements",13,26,"10.6","9.2",8,11
"IASDL","Encouragements",23,26,"10.5","11.6",10,"12.6"
"DAQYJ","Encouragements",2,27,"10.4","9.8",8,"12.6"
"IJNTU","Pas de mention",14,27,"10.5","10.7",9,"11.6"
"SRXZR","Encouragements",27,11,"9.7","10.5","9.2","12.5"
"NGKWD","Encouragements",11,28,"9.9","10.2",4,9
"NCEFS","Pas de mention",17,28,"10.6","11.8",8,"13.3"
"WWOLI","Encouragements",21,28,"10.4",7,"6.5","12.7"
"DUIOL","Pas de mention",28,28,"9.9","11.3",5,"8.5"
"TKYOU","Encouragements",3,29,"10.5","7.9","8.5","10.4"
"MIRZQ","Encouragements",3,29,"10.2","9.4",7,10
"UABBU","Pas de mention",24,29,"10.2","9.2",6,"10.9"
"HHXEY","Pas de mention",25,30,10,"5.2",10,"11.6"
"BZNHD","Pas de mention",28,30,"9.4",11,11,"9.4"
"VQQKZ","Encouragements",2,31,"10.1","9.2",10,"10.2"
"WEDTR","Pas de mention",4,31,"9.5","8.7","13.5","8.1"
"UCVFC","Encouragements",12,31,9,"8.2",8,"8.7"
"BFQTB","Pas de mention",14,32,"9.4","11.8",10,"5.7"
"JICPK","Pas de mention",49,32,"7.7","11.6",9,"1.5"
"MCGET","Pas de mention",32,9,"12.3","7.5","10.3",11
"CQSFR","Pas de mention",33,9,"11.7",8,"8.8","14.5"
