"Analyse Vidéo: Temps (s)";"Analyse Vidéo: X (m)";"Analyse Vidéo: Y (m)";"Analyse Vidéo: Vitesse X (m/s)";"Analyse Vidéo: Vitesse Y (m/s)"
0;0,0524329864114;2,06735774994;2,13773602824;1,97072540103
0,013;0,0898851195624;2,09731945646;0,65546386032;1,3425328963
0,046;0,0823946929322;2,12728116298;0,416469595422;1,36256531621
0,079;0,104865972823;2,17971414939;0,821528854964;1,84956069973
0,113;0,142318105974;2,24712798906;1,23341405851;2,78372754914
0,146;0,179770239125;2,35948438851;2,03268022529;4,02922391324
0,179;0,277145785317;2,52427377438;2,763833774;4,57584847558
0,213;0,37452133151;2,67408230698;2,90673272217;4,49052939771
0,246;0,471896877703;2,82389083959;2,90673272217;4,32283327912
0,28;0,569272423895;2,96620894556;2,95156376473;4,01602083158
0,313;0,666647970088;3,09354619827;3,16194701712;3,61365373385
0,346;0,779004369541;3,20590259773;3,26846319685;3,17571897754
0,38;0,891360768994;3,30327814392;3,04486837206;2,85769876936
0,413;0,981245888556;3,40065369011;2,93496439196;2,39009316491
0,446;1,07862143475;3,46057710315;3,21270458766;2,01795730336
0,48;1,19846826083;3,52799094282;3,39931380233;1,99806352822
0,513;1,31082466028;3,60289520913;3,29350659837;1,67413801889
0,546;1,41569063311;3,63285691565;3,1381729794;1,55031349063
0,58;1,52055660593;3,70776118195;3,03716303662;1,32293604663
0,613;1,61793215212;3,73023246184;3,03716303662;0,596252866086
0,647;1,72279812495;3,7452133151;3,08185398218;-0,0369856101143
0,68;1,82766409777;3,72274203521;2,97335946288;-0,301514233418
0,713;1,91754921733;3,72274203521;2,91401776658;-0,411324815514
0,747;2,02241519015;3,70027075532;2,93279076566;-0,765770245776
0,78;2,11230030972;3,6703090488;3,04902033794;-1,12926679183
0,813;2,22465670917;3,62536648902;3,1381729794;-1,41946288515
0,847;2,32203225536;3,57293350261;3,2502505858;-1,60663248785
0,88;2,44187908145;3,52050051619;3,29463586516;-1,93838644817
0,913;2,54674505427;3,44559624989;3,02665576102;-2,33485673547
0,947;2,63663017383;3,36320155696;3,13032754695;-2,70177079945
0,98;2,75647699991;3,26582601077;3,3166565676;-3,13032754695
1,014;2,86134297274;3,15346961131;3,32478219407;-3,54893740688
1,047;2,98118979882;3,0261323586;3,14331411506;-3,83950709222
1,08;3,07107491838;2,89879510589;2,95212415276;-4,05356682973
1,114;3,16845046457;2,75647699991;3,2309171987;-4,40857264802
1,147;3,29578771729;2,60666846731;3,14331411506;-4,89424227579
1,18;3,37818241022;2,42689822818;2,93335115369;-5,06226528739
1,214;3,48304838304;2,26959926895;3,18622625314;-5,36627579477
1,247;3,5954047825;2,07484817657;3,27939076347;-5,99979446499
1,281;3,70776118195;1,85762580429;3,11996036836;-6,14549535331
1,314;3,79764630151;1,6628747119;3,21897499011;-6,20983808827
1,347;3,92498355422;1,45314276626;3,1381729794;-6,59380577894
1,381;4,00737824716;1,22093954072;3,08241437021;-7,0233432055
1,414;4,12722507324;0,981245888556;3,20034208804;-7,39613285308
1,447;4,22460061943;0,73406180976;3,10118736928;-7,82665944942
1,481;4,32946659226;0,456916024442;3,11883959229;-7,749325901
1,514;4,44182299171;0,179770239125;2,57980998593;-4,71355958909
1,547;4,50923683138;0,0898851195624;1,51388826854;1,60327015965
1,581;4,53170811127;0,329578771729;1,08070831978;5,4035415989
1,614;4,57665067105;0,501858584223;1,04344251565;5,62713642368
1,648;4,60661237757;0,704100103239;0,840862242069;5,24887450206
1,681;4,62908365746;0,853908635843;0,771853852215;4,87448010693
1,714;4,65904536398;1,02618844834;0,672465638442;4,46433125721
1,748;4,67402621724;1,15352570105;0,673026026474;4,12865882602
1,781;4,69649749714;1,29584380702;0,998836477372;4,06648971738
1,814;4,74893048355;1,43067148637;0,877847852183;3,51139140873
1,848;4,75642091018;1,53553745919;0,616707029255;2,74674193902
1,881;4,7863826167;1,60295129886;0,62053210211;2,57868071914
1,914;4,79387304333;1,70781727169;0,877847852183;2,42816134281
1,948;4,84630602974;1,76774068473;1,02480961358;2,18004954163
1,981;4,86877730963;1,85013537766;0,819847690868;1,99372052097
2,015;4,89873901615;1,9100587907;0,672465638442;1,4012502741
2,048;4,91371986941;1,94002049722;0,65779790624;0,922046335528
2,081;4,9361911493;1,96998220374;0,914833462298;0,560388032035
2,115;4,98113370908;1,97747263037;0,934166849403;0,26170121096
2,148;4,99611456234;1,984963057;0,979074308515;0,019762168857
2,181;5,04854754875;1,984963057;0,896620851256;-0,504069034816
2,215;5,05603797538;1,94751092385;0,819847690868;-0,857113494998
2,248;5,10098053517;1,92503964396;0,838480592933;-1,02480961358
2,282;5,11596138843;1,88009708418;0,766330633808;-1,2891726677
2,315;5,14592309495;1,84264495103;0,941808504385;-1,78819396486
2,348;5,1833752281;1,7602502581;0,896620851256;-2,22277912907
2,382;5,20584650799;1,69283641843;0,821338323033;-2,56314200809
2,415;5,23580821451;1,5879704456;0,866147629333;-2,97561799647
